Use Case Name,MITRE Technique IDs,Detection Logic,Description,Log Source,Status,Feature Exercised
Malicious Script Downloads Payload,"T1059.001, T1105",index=edr process=powershell.exe dest_url=* file_download=true,Script interpreter fetching a remote payload.,EDR Telemetry,Enabled,MULTIPLE IDs in one cell -> multi-tag extraction
RDP Lateral Movement Watch,T1021.001,index=wineventlog EventCode=4624 LogonType=10 | unusual source,Interactive RDP logons from unusual sources.,Windows Security Events,Disabled,customer-tagged but DISABLED -> partial (default policy); Enabled in v2 -> newly covered
Defender Tampering Alert,T1562.001,index=edr defender_status=disabled by non-admin,Security tooling disabled outside change control.,EDR Telemetry,Enabled,REVOKED ID in v19.1 -> auto-remap to T1685 + assumption note
Legacy Rule With Broken Tags,"T9999, banana",index=legacy correlation id 42,Migrated rule whose tag field was corrupted.,Legacy SIEM,Enabled,invalid tags: T9999 -> unknown; 'banana' dropped by the tag regex at ingest
Multiband Communication Detection,T1026,ndr: multi-channel C2 correlation,Legacy multi-band C2 rule tagged with a retired technique.,NDR Sensor,Enabled,DEPRECATED ID in v19.1 -> deprecated note
Mimikatz Execution,,"index=edr cmdline=""*mimikatz*"" OR cmdline=""*sekurlsa::logonpasswords*""",Known credential-theft tool execution.,EDR Telemetry,Enabled,keyword pre-pass: mimikatz -> T1003.001 (no LLM)
Scheduled Task Created via CLI,,"index=wineventlog process=schtasks.exe cmdline=""*schtasks /create*""",Task registration from the command line.,Windows Security Events,Enabled,keyword: schtasks -> T1053.005
Encoded PowerShell Command,,"index=edr cmdline=""powershell.exe -enc *""",Base64-encoded command execution.,EDR Telemetry,Enabled,keyword: powershell / -enc -> T1059.001
Rundll32 Proxy Launch,,index=sysmon process=rundll32.exe parent!=msiexec.exe,Signed-binary proxy execution via rundll32.,Sysmon,Enabled,keyword: rundll32 -> T1218.011
WMIC Remote Process Launch,,"index=edr cmdline=""wmic /node:* process call create *""",Remote process creation over WMI.,EDR Telemetry,Enabled,keyword: wmic -> T1047
Volume Shadow Copy Removal,,"index=edr cmdline=""vssadmin delete shadows /all /quiet""",Backup destruction ahead of ransomware.,EDR Telemetry,Enabled,keyword: vssadmin delete -> T1490
Event Log Clear via Wevtutil,,"index=edr cmdline=""wevtutil cl Security""",Log clearing from the command line.,EDR Telemetry,Enabled,"keyword: wevtutil cl -> T1070.001, remapped to T1685.005"
Certutil Remote Download,,"index=edr cmdline=""certutil -urlcache -split -f http*""",LOLBin file download.,EDR Telemetry,Enabled,keyword: certutil -> T1105
Nltest Domain Trust Enumeration,,"index=edr cmdline=""nltest /domain_trusts""",Domain trust discovery from an endpoint.,EDR Telemetry,Enabled,keyword: nltest -> T1482
Rclone Exfiltration,,"index=edr process=rclone.exe cmdline=""*copy* *remote:*""",Bulk copy to attacker-controlled cloud storage.,EDR Telemetry,Enabled,keyword: rclone -> T1567.002
Impossible Travel Sign-In,,SigninLogs | geo distance between consecutive sign-ins vs elapsed time,Sign-ins from two distant locations within an hour.,Entra ID Sign-In Logs,Enabled,"untagged, non-keywordable -> AI tagging residue (or 'unmapped' if no LLM key); tagged T1078 in v2"
Periodic Outbound Callback Pattern,,ndr: fixed-interval outbound connections with low jitter per host,Regular low-jitter callbacks flagged by the UEBA model.,NDR Sensor,Enabled,"untagged, non-keywordable -> AI residue; tagged T1071.001 in v2"
DLP Bulk Upload Spike,,dlp: outbound upload volume > 5x user baseline in 24h,Sudden large data uploads relative to the user's baseline.,DLP,Enabled,"untagged, non-keywordable -> AI residue (or 'unmapped')"
